date,temp_max,temp_min,precipitation,wind_speed,humidity,next_day_temp
2023-01-01,22.0,11.3,0.0,9.9,96,22.5
2023-01-02,22.5,11.8,0.0,13.2,99,23.1
2023-01-03,23.1,11.3,0.0,9.8,99,22.8
2023-01-04,22.8,11.7,0.0,9.4,99,22.9
2023-01-05,22.9,11.8,0.0,10.7,100,22.9
2023-01-06,22.9,10.4,0.0,10.1,95,23.9
2023-01-07,23.9,11.6,0.0,9.9,95,23.8
2023-01-08,23.8,12.8,0.0,8.9,100,24.0
2023-01-09,24.0,12.1,0.0,8.4,100,24.3
2023-01-10,24.3,13.9,0.0,7.4,100,24.6
2023-01-11,24.6,14.2,0.0,9.0,100,24.2
2023-01-12,24.2,13.4,0.0,10.5,100,23.2
2023-01-13,23.2,13.6,0.0,9.5,99,22.7
2023-01-14,22.7,11.9,0.1,7.4,100,21.7
2023-01-15,21.7,13.4,0.1,9.0,97,21.8
2023-01-16,21.8,11.2,0.4,8.5,100,21.5
2023-01-17,21.5,12.3,0.1,9.4,94,20.8
2023-01-18,20.8,10.9,0.0,8.0,99,22.0
2023-01-19,22.0,9.8,0.0,9.3,95,22.7
2023-01-20,22.7,9.9,0.0,9.9,99,23.0
2023-01-21,23.0,11.4,0.0,9.3,94,23.4
2023-01-22,23.4,10.4,0.0,10.0,93,23.4
2023-01-23,23.4,10.6,0.0,10.1,91,24.5
2023-01-24,24.5,11.8,0.0,11.8,90,25.0
2023-01-25,25.0,12.4,0.0,8.9,95,25.4
2023-01-26,25.4,12.9,0.0,8.2,95,25.4
2023-01-27,25.4,13.4,0.0,9.1,96,25.5
2023-01-28,25.5,14.3,0.0,9.2,93,25.9
2023-01-29,25.9,14.1,0.0,10.7,95,27.5
2023-01-30,27.5,13.9,0.0,10.7,92,27.1
2023-01-31,27.1,14.9,0.0,9.1,93,26.9
2023-02-01,26.9,17.3,0.3,11.1,94,25.9
2023-02-02,25.9,16.5,0.0,9.7,99,26.5
2023-02-03,26.5,15.1,0.0,10.4,97,26.4
2023-02-04,26.4,16.1,0.0,10.2,97,25.9
2023-02-05,25.9,16.0,0.1,9.4,99,25.0
2023-02-06,25.0,14.7,0.5,11.9,100,24.7
2023-02-07,24.7,14.4,0.0,14.8,96,23.7
2023-02-08,23.7,14.6,0.7,13.8,97,23.0
2023-02-09,23.0,14.8,0.4,15.8,97,23.5
2023-02-10,23.5,14.3,0.3,13.5,96,23.7
2023-02-11,23.7,15.4,2.4,8.7,96,25.1
2023-02-12,25.1,14.5,0.3,7.4,100,25.0
